name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16176,223.34568999999925,0.01380722613748759
cuMemAllocAsync,6760,63.92880400000016,0.009456923668639077
cuMemcpyDtoHAsync_v2,344,61.08115100000002,0.17756148546511633
cuMemsetD8Async,3640,45.37165500000015,0.012464740384615427
cuMemFreeAsync,3048,36.08788599999995,0.01183985761154854
cudaEventRecord_v3020,2760,24.020227999999978,0.008702981159420283
cudaStreamGetCaptureInfo_v2_v11030,4512,21.42237400000002,0.0047478665780141885
cudaStreamWaitEvent_v3020,2064,18.343954000000007,0.008887574612403104
cuMemcpyHtoDAsync_v2,1040,14.62280100000001,0.014060385576923086
cuLaunchKernelEx,1032,13.569161000000008,0.013148411821705435
cuMemcpyDtoDAsync_v2,360,5.136911999999999,0.014269199999999998
cudaGetFuncBySymbol_v11000,1032,4.070156,0.003943949612403101
