name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16177,273.27057299999933,0.016892537120603283
cuMemcpyDtoHAsync_v2,347,58.450631999999985,0.1684456253602305
cuMemsetD8Async,3640,55.457992000000004,0.01523571208791209
cuMemAllocAsync,5040,55.172784000000064,0.010946980952380964
cudaEventRecord_v3020,2760,31.901588999999973,0.011558546739130425
cudaStreamGetCaptureInfo_v2_v11030,4512,27.144184999999975,0.0060159984485815545
cudaStreamWaitEvent_v3020,2064,23.23002900000005,0.011254859011627932
cuMemcpyHtoDAsync_v2,1040,16.503027999999986,0.01586829615384614
cuLaunchKernelEx,1032,16.433998999999982,0.015924417635658897
cuMemFreeAsync,1328,15.637745999999996,0.01177541114457831
cuMemcpyDtoDAsync_v2,360,5.824527999999999,0.016179244444444442
cudaGetFuncBySymbol_v11000,1032,5.011502000000005,0.0048561065891472915
cuStreamSynchronize,3,0.555361,0.18512033333333333
