Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,960666,688,1396.3,1376.0,1056,1920,157.5,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,933438,344,2713.5,2688.0,2496,2912,87.8,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,843775,344,2452.8,2432.5,2336,2592,42.5,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,833942,688,1212.1,1248.0,928,1407,100.8,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,811590,344,2359.3,2368.0,2240,2497,55.2,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,764770,344,2223.2,2240.0,2048,2592,98.7,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,514079,344,1494.4,1535.0,1087,1632,90.5,"dsv4_sum_bf16_rows_kernel(const unsigned short *, unsigned short *, int, int)"
0.0,499877,344,1453.1,1440.0,1375,1792,75.7,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,495035,344,1439.1,1440.0,1056,1824,136.0,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,462407,344,1344.2,1344.0,1217,1440,35.6,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,405437,344,1178.6,1216.0,928,1440,143.6,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,244321,16,15270.1,15264.0,15040,15520,144.6,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,206816,16,12926.0,12800.0,12448,13696,353.2,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,44638,16,2789.9,2847.5,2655,2912,93.7,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,34303,16,2143.9,2192.0,1440,2816,658.8,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,33728,16,2108.0,2080.0,1824,2593,219.3,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
