kind,calls,bytes,total_ms,avg_ms
Device-to-Host,344,44032,0.8331539999999997,0.002421959302325581
Host-to-Device,1040,56448,0.8149520000000029,0.0007836076923076951
Device-to-Device,360,17260736,0.4767480000000001,0.0013243000000000003
