kind,calls,bytes,total_ms,avg_ms
Device-to-Host,344,44032,0.8359639999999997,0.0024301279069767435
Host-to-Device,696,12416,0.5453410000000017,0.0007835359195402324
Device-to-Device,360,17260736,0.4769439999999999,0.0013248444444444443
