Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,497136,344,1445.2,1440.0,1375,1761,60.3,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,488254,344,1419.3,1408.0,1056,1824,140.8,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,484839,344,1409.4,1376.0,1056,1760,164.6,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,461725,344,1342.2,1344.0,1215,1440,41.4,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,403583,344,1173.2,1216.0,896,1376,143.7,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,246945,16,15434.1,15408.0,15200,15776,159.3,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,207483,16,12967.7,13007.5,12031,13567,398.6,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,45665,16,2854.1,2816.5,2656,3040,104.6,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,34625,16,2164.1,2176.0,1440,2944,667.9,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,32225,16,2014.1,2080.0,1824,2177,106.2,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
