name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16178,215.48495100000054,0.013319628569662538
cuMemcpyDtoHAsync_v2,344,155.83680299999995,0.4530139622093022
cuMemAllocAsync,5040,42.22175300000012,0.008377331944444469
cudaEventRecord_v3020,2760,22.707043999999982,0.008227189855072457
cudaStreamGetCaptureInfo_v2_v11030,4512,20.881351000000016,0.004627958998226954
cudaStreamWaitEvent_v3020,2064,15.82826700000001,0.007668734011627911
cuMemFreeAsync,1328,12.707761999999972,0.009569097891566245
cuLaunchKernelEx,1032,12.511569,0.012123613372093023
cuMemcpyHtoDAsync_v2,696,9.656180999999997,0.013873823275862064
cuMemsetD8Async,544,5.820432999999993,0.010699325367647047
cuMemcpyDtoDAsync_v2,360,4.815181999999999,0.013375505555555554
cudaGetFuncBySymbol_v11000,1032,3.6148220000000006,0.0035027344961240316
