name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16174,263.3570109999997,0.016282738407320373
cuMemAllocAsync,6760,68.08844199999993,0.0100722547337278
cuMemcpyDtoHAsync_v2,344,56.795631,0.1651035784883721
cuMemsetD8Async,3640,51.524788000000015,0.014155161538461542
cuMemFreeAsync,3048,34.31737000000005,0.011258979658792667
cudaEventRecord_v3020,2760,30.49311799999998,0.011048231159420283
cudaStreamGetCaptureInfo_v2_v11030,4512,26.654020999999982,0.005907362810283684
cudaStreamWaitEvent_v3020,2064,22.92179099999999,0.011105518895348832
cuMemcpyHtoDAsync_v2,1040,16.64068200000002,0.01600065576923079
cuLaunchKernelEx,1032,16.374593,0.015866853682170542
cuMemcpyDtoDAsync_v2,360,5.6942399999999935,0.015817333333333315
cudaGetFuncBySymbol_v11000,1032,4.893934999999997,0.0047421850775193775
cuStreamSynchronize,1,0.023451,0.023451
