Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,1172289,704,1665.2,1664.0,1567,1952,35.8,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,952644,688,1384.7,1376.0,1055,1792,161.2,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,932710,344,2711.4,2689.0,2560,3040,88.7,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,843806,344,2452.9,2464.0,2368,2561,40.8,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,825288,688,1199.5,1216.0,960,1377,100.8,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,812917,344,2363.1,2368.0,2208,2528,56.5,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,763433,344,2219.3,2240.0,2016,2624,108.4,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,500798,344,1455.8,1440.0,1376,1792,68.5,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,495236,344,1439.6,1440.0,1056,1728,140.0,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,461246,344,1340.8,1344.0,1215,1440,39.4,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,400288,344,1163.6,1088.0,927,1377,145.2,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,246433,16,15402.1,15392.0,15232,15616,101.0,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,207455,16,12965.9,12959.5,12064,13792,406.2,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,44994,16,2812.1,2817.0,2592,2944,106.4,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,35039,16,2189.9,2192.0,1472,3008,687.0,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,32829,16,2051.8,2079.5,1888,2272,116.0,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
